"CUSP_ID","LONGITUDE","LATITUDE","ELAPSED_DAYS","MAG","DEPTH","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND"
3379070,172.413114401657,-43.6392914268666,1.364432828,2.56,5,2010,9,5,1,20,28.28734
3366942,172.387070434215,-43.6176352650815,1.37052282,2.657,5,2010,9,5,1,29,14.46261
3366944,172.261241967561,-43.6046571547882,1.373793087,2.71,5,2010,9,5,1,33,57.01372
3366947,171.93232889039,-43.5629399650603,1.379115293,2.663,5,2010,9,5,1,41,36.85229
3366948,172.362237897098,-43.6488868247138,1.382353398,2.683,5,2010,9,5,1,46,16.62454
3366951,172.200730979492,-43.5887355830991,1.389035292,4.348,7.2945,2010,9,5,1,55,53.94026
3379097,171.937758302051,-43.5447886229844,1.390729379,3.846,8.6304,2010,9,5,1,58,20.30937
3379600,171.994825871364,-43.5774283680187,1.39167427,2.803,5,2010,9,5,1,59,41.94788
3379604,171.930511718215,-43.5388522878256,1.392140107,3.429,8.6028,2010,9,5,2,0,22.1962
3379612,172.378422285319,-43.5703251276044,1.393151623,2.812,8.0323,2010,9,5,2,1,49.59125
3379608,171.899239226922,-43.545182570193,1.393509987,3.241,5,2010,9,5,2,2,20.55389
3366959,172.183533844983,-43.4647646570862,1.403295142,2.803,5,2010,9,5,2,16,25.99128
3366960,172.143434166801,-43.4935387646774,1.405447679,2.883,5,2010,9,5,2,19,31.97043
3366964,172.144377504824,-43.5205773434877,1.413291908,2.57,5,2010,9,5,2,30,49.71188
3380111,172.327017391705,-43.5674352104495,1.415126478,2.569,5,2010,9,5,2,33,28.21868
3366965,172.345993559707,-43.5882738031882,1.415868938,3.452,7.7927,2010,9,5,2,34,32.36726
3366969,172.246730766503,-43.5761286331067,1.424000579,3.106,5,2010,9,5,2,46,14.94102
3380121,172.196935778351,-43.6164149602627,1.425273539,2.69,12,2010,9,5,2,48,4.92477
3366972,172.388643864635,-43.6275175363205,1.426990712,3.276,7.7886,2010,9,5,2,50,33.28851
3366973,172.464236998714,-43.6336531343992,1.428716301,3.861,8.6697,2010,9,5,2,53,2.37939
3366976,172.318939832165,-43.6079014881177,1.433693795,2.75,5,2010,9,5,3,0,12.43492
3366978,171.900419308193,-43.5483625129467,1.435733758,2.904,5,2010,9,5,3,3,8.68767
3380604,172.278865904619,-43.5431378121845,1.435898418,2.967,5,2010,9,5,3,3,22.9143
3366979,172.166714927662,-43.4791634045909,1.438470421,2.624,5,2010,9,5,3,7,5.13534
3380612,172.354873892255,-43.6232294782255,1.439207909,2.872,5,2010,9,5,3,8,8.85434
3366987,172.411950138639,-43.6070986154571,1.451313797,3.043,5,2010,9,5,3,25,34.80304
3380627,172.093986969301,-43.5743446063808,1.453077741,2.771,5,2010,9,5,3,28,7.20784
3366989,172.435089681292,-43.5842709818885,1.455470581,3.304,6.7012,2010,9,5,3,31,33.94916
3381070,172.352138372524,-43.6031600865768,1.464594147,2.595,5,2010,9,5,3,44,42.22531
3381083,172.440324653795,-43.6507132260927,1.465917465,2.947,5,2010,9,5,3,46,36.55997
3366994,172.166107965964,-43.6003719930423,1.466653198,2.971,5,2010,9,5,3,47,40.1273
3366997,172.163527553299,-43.6150973735086,1.470817253,2.826,5,2010,9,5,3,53,39.90168
3366999,172.154085712958,-43.5171655689666,1.475173423,2.69,5,2010,9,5,3,59,56.2747
3367000,172.396918857163,-43.6077051533463,1.477893372,3.171,5,2010,9,5,4,3,51.2783
3386185,172.374772606747,-43.5845899545661,1.482457147,3.206,5,2010,9,5,4,10,25.58852
3386192,172.352460294878,-43.6008396455989,1.483214222,2.661,12,2010,9,5,4,11,30.99981
3367004,172.248178856375,-43.5711514240538,1.486333306,3.108,5,2010,9,5,4,16,0.48862
3386200,172.33711698109,-43.5937677570535,1.496545491,2.431,5,2010,9,5,4,30,42.82139
3367019,172.384022921537,-43.6249727549228,1.513509969,2.772,5,2010,9,5,4,55,8.55231
3367024,172.330747367855,-43.5569346531718,1.524417361,2.961,12,2010,9,5,5,10,50.95098
3367025,172.243761941468,-43.5968659056216,1.525588236,2.761,5,2010,9,5,5,12,32.11457
3387173,172.398588327417,-43.5627992448618,1.527766863,3.353,7.9846,2010,9,5,5,15,40.34798
3367026,172.471299100731,-43.6423982901501,1.528018444,3.53,8.4936,2010,9,5,5,16,2.08455
3367029,172.468318165356,-43.6431316837497,1.532573768,3.406,8.4826,2010,9,5,5,22,35.66452
3367030,172.0958750088,-43.6014447394086,1.533969253,3.096,5,2010,9,5,5,24,36.23449
3367031,172.00063478157,-43.2669219186153,1.535575019,2.746,8.4242,2010,9,5,5,26,54.97267
3367032,171.867603001326,-43.571358974437,1.538850854,2.821,5,2010,9,5,5,31,38.00477
3367033,172.401821244013,-43.541123652586,1.540604571,2.778,5,2010,9,5,5,34,9.52589
3367034,172.416215355123,-43.5394332932278,1.54181604,2.743,12,2010,9,5,5,35,54.19683
3367036,172.563091305489,-43.6349777299602,1.544137036,3.055,13.9583,2010,9,5,5,39,14.73089
3367038,171.909983651955,-43.5498758429712,1.545510403,2.769,5,2010,9,5,5,41,13.38985
3367043,172.202161147322,-43.507013387341,1.553120473,3.179,7.6694,2010,9,5,5,52,10.89982
3367044,172.177045147688,-43.6040150803967,1.555273834,3.334,8.5025,2010,9,5,5,55,16.95022
3367046,172.171955025085,-43.4801554410074,1.559273661,3.099,5.9484,2010,9,5,6,1,2.53534
3367047,171.831704829801,-43.5671561990546,1.560543588,2.695,5,2010,9,5,6,2,52.25702
3367048,172.339309174115,-43.6074618287388,1.562812563,2.867,5,2010,9,5,6,6,8.29644
3367049,172.155344469521,-43.6155508031501,1.565228266,3.207,5,2010,9,5,6,9,37.0132
3367053,172.482774727583,-43.6074554808085,1.571873012,3.476,8.7364,2010,9,5,6,19,11.11925
3389489,171.892412965247,-43.5347108512025,1.572043239,3.409,8.7356,2010,9,5,6,19,25.82687
3367056,172.346664119519,-43.6158295693322,1.578226548,2.824,5,2010,9,5,6,28,20.06474
3367057,172.042916004957,-43.5892700879132,1.579592016,3.036,5,2010,9,5,6,30,18.04117
3367060,172.129684727705,-43.6148019207184,1.585736681,2.91,5,2010,9,5,6,39,8.9402
3367061,172.153441294099,-43.5279355864828,1.588172418,2.562,5,2010,9,5,6,42,39.38794
3389499,172.14293335701,-43.4614624018457,1.589017026,2.614,5,2010,9,5,6,43,52.36206
3367064,172.550737545672,-43.5843109497007,1.59327098,3.333,0,2010,9,5,6,49,59.90362
3367065,172.305696633755,-43.5808374088913,1.594847977,2.758,5,2010,9,5,6,52,16.15624
3367066,172.235825293602,-43.6026103324843,1.597171828,2.647,5,2010,9,5,6,55,36.93697
3367067,172.285172122304,-43.6089574007469,1.598511045,2.765,5,2010,9,5,6,57,32.6453
3367070,172.248577816946,-43.6150976584834,1.60500281,2.946,5,2010,9,5,7,6,53.53379
3367071,172.017772836765,-43.2667552863024,1.607183442,3.24,8.6004,2010,9,5,7,10,1.94036
3367074,171.929742767392,-43.5516186995471,1.610947735,2.865,5,2010,9,5,7,15,27.17527
3367075,172.297627555045,-43.5912478015347,1.613085092,3.542,9.1071,2010,9,5,7,18,31.84298
3367080,172.137859792149,-43.6061770733481,1.619992281,2.883,5,2010,9,5,7,28,28.62409
3367082,172.255215907405,-43.5960403325441,1.625491755,2.636,5,2010,9,5,7,36,23.7786
3367084,171.911996002814,-43.5307749687388,1.629965146,3.321,8.891,2010,9,5,7,42,50.27964
3367088,172.253309056274,-43.6061092647604,1.637356323,2.634,12,2010,9,5,7,53,28.87727
3367089,172.048364533127,-43.6091005002967,1.639327943,2.858,5,2010,9,5,7,56,19.22527
3367090,171.918206581522,-43.5579470824262,1.642177144,2.62,5,2010,9,5,8,0,25.39627
3367092,172.203310599776,-43.6509425223528,1.64451275,2.684,5,2010,9,5,8,3,47.19261
3390981,172.396854002155,-43.5629432011398,1.645616946,3.334,6.4709,2010,9,5,8,5,22.59512
